number,kind,state,merged,topic,created,labels,title,s1_top,status,p_status,status_second,p_status_second,tested,p_tested,priority,priority_score,priority_raw,evidence,batch,state_chars
38,issue,closed,,api_config,2015-03-29,enhancement|need input,Rework Objective-C API,feature_request,not_applicable,1,matches_js_client,0,False,0.03,Routine,0.01,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:150,s2a-batch-03,17608
45,issue,closed,,threading_memory,2015-04-07,enhancement|patched,emit error event when the socket is denied by the server.,defect_fixed_or_obsolete,already_addressed,0.67,matches_js_client,0.33,True,0.92,High,1.45,"{""0"": 0.14, ""1"": 0.36, ""2"": 0.42, ""3"": 0.08}",Tests/TestSocketIO/E2E/JSParityE2ETest.swift:108,s2a-batch-23,28648
48,issue,closed,,reconnect,2015-04-09,unconfirmed,Multiple reconnection attempts triggers multiple disconnection events,defect_current,already_addressed,0.69,matches_js_client,0.3,False,0.05,Routine,0.57,"{""0"": 0.51, ""1"": 0.42, ""2"": 0.07, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:609,s2a-batch-19,27100
54,issue,closed,,engine_transport,2015-04-17,enhancement|patched,Using this client with self signed certificates,feature_request,still_applicable,0.57,already_addressed,0.2,False,0.06,Routine,0.5,"{""0"": 0.57, ""1"": 0.36, ""2"": 0.06, ""3"": 0.01}",Source/SocketIO/Security/SocketTLSConfiguration.swift:16,s2a-batch-08,29335
65,issue,closed,,engine_transport,2015-04-27,enhancement,Allow option to specify custom socket.io url path.,feature_request,already_addressed,0.89,matches_js_client,0.11,True,0.55,Routine,0.29,"{""0"": 0.73, ""1"": 0.26, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Client/SocketIOClientOption.swift:131,s2a-batch-08,29335
66,issue,closed,,engine_transport,2015-04-27,enhancement|patched,forceWebsockets and cookies,feature_request,already_addressed,0.84,matches_js_client,0.1,False,0.07,Important,0.68,"{""0"": 0.36, ""1"": 0.6, ""2"": 0.04, ""3"": 0}",Source/SocketIO/Engine/SocketEngineSpec.swift:245,s2a-batch-08,29335
67,issue,closed,,reconnect,2015-04-27,help wanted|question,won't reconnect when the app come back from background,support_question,not_applicable,0.87,still_applicable,0.08,False,0.03,Important,0.83,"{""0"": 0.29, ""1"": 0.6, ""2"": 0.11, ""3"": 0}",none,s2a-batch-19,27100
79,issue,closed,,namespace,2015-05-11,unconfirmed,Issue with namespaces,support_question,not_applicable,0.98,already_addressed,0.01,False,0.05,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:121,s2a-batch-13,24483
83,issue,closed,,api_config,2015-05-14,unconfirmed,event is emited twice,defect_current,insufficient_evidence,0.99,not_applicable,0.01,False,0.03,Important,0.78,"{""0"": 0.37, ""1"": 0.49, ""2"": 0.13, ""3"": 0.01}",none,s2a-batch-03,17608
86,issue,closed,,other,2015-05-26,question,CocoaPods Setup,build_packaging_env,not_applicable,0.85,still_applicable,0.14,False,0.03,Routine,0.01,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}",CHANGELOG.md:3,s2a-batch-14,25197
88,issue,closed,,reconnect,2015-05-27,unconfirmed,won't reconnect when app gets suspended in background,defect_current,not_applicable,1,still_applicable,0,False,0.03,Routine,0.38,"{""0"": 0.68, ""1"": 0.27, ""2"": 0.04, ""3"": 0.01}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-19,27100
89,issue,closed,,threading_memory,2015-05-29,bug|wontfix|unconfirmed,Memory Leaks,defect_current,not_applicable,0.51,insufficient_evidence,0.24,False,0.03,Important,1.41,"{""0"": 0.05, ""1"": 0.5, ""2"": 0.43, ""3"": 0.02}",README.md:8,s2a-batch-23,28648
93,issue,closed,,threading_memory,2015-06-06,,WebSocket never deinit'd if close is not called,defect_current,already_addressed,0.92,still_applicable,0.05,False,0.04,Important,1.01,"{""0"": 0.19, ""1"": 0.62, ""2"": 0.18, ""3"": 0.01}",Source/SocketIO/Engine/SocketEngine.swift:232,s2a-batch-23,28648
101,issue,closed,,reconnect,2015-06-19,unconfirmed,Connection is connected again and again,defect_current,not_applicable,0.95,already_addressed,0.03,False,0.03,Routine,0.33,"{""0"": 0.72, ""1"": 0.24, ""2"": 0.04, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:823,s2a-batch-19,27100
106,issue,closed,,api_config,2015-06-28,help wanted|question,make a slight change to the README,docs_gap,not_applicable,0.98,already_addressed,0.01,False,0.03,Routine,0.01,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:3,s2a-batch-03,17608
109,issue,closed,,threading_memory,2015-07-03,unconfirmed,closeWithFast Crash on Mavericks,defect_current,not_applicable,0.62,insufficient_evidence,0.37,False,0.04,Routine,0.49,"{""0"": 0.59, ""1"": 0.33, ""2"": 0.07, ""3"": 0.01}",README.md:8,s2a-batch-23,28648
110,issue,closed,,reconnect,2015-07-03,bug|patched,The socket is trying to reconnect after closeWithFast call,defect_current,not_applicable,0.69,already_addressed,0.3,False,0.19,Routine,0.56,"{""0"": 0.51, ""1"": 0.44, ""2"": 0.05, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:465,s2a-batch-19,27100
112,pr,closed,no,api_config,2015-07-06,,emit dictionary in Objective-C,pr_functional,not_applicable,0.96,already_addressed,0.03,False,0.16,Routine,0.01,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:150,s2a-batch-03,17608
128,issue,closed,,engine_transport,2015-07-27,,Crash in WebSocket.swift iOS 8.4,defect_fixed_or_obsolete,not_applicable,1,matches_js_client,0,False,0.03,Routine,0.29,"{""0"": 0.79, ""1"": 0.15, ""2"": 0.04, ""3"": 0.02}",README.md:5,s2a-batch-08,29335
135,issue,closed,,threading_memory,2015-08-05,enhancement|patched,Threading Documentation,docs_gap,already_addressed,1,matches_js_client,0,False,0.16,Routine,0.35,"{""0"": 0.68, ""1"": 0.29, ""2"": 0.03, ""3"": 0}",README.md:754,s2a-batch-23,28648
139,issue,closed,,threading_memory,2015-08-06,,Closing socket,support_question,still_applicable,0.49,insufficient_evidence,0.34,False,0.04,Important,0.62,"{""0"": 0.43, ""1"": 0.52, ""2"": 0.05, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:583,s2a-batch-23,28648
144,pr,closed,no,reconnect,2015-08-15,,Clear waiting data on reconnect (like JS does),pr_functional,matches_js_client,0.96,still_applicable,0.03,False,0.29,Routine,0.12,"{""0"": 0.91, ""1"": 0.07, ""2"": 0.02, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:186,s2a-batch-19,27100
149,issue,closed,,engine_transport,2015-08-25,,Crashed: com.apple.root.default-qos EXC_BAD_ACCESS 0x17d884ea,defect_fixed_or_obsolete,not_applicable,0.99,already_addressed,0.01,False,0.02,Routine,0.84,"{""0"": 0.48, ""1"": 0.27, ""2"": 0.16, ""3"": 0.09}",README.md:5,s2a-batch-08,29335
159,pr,closed,no,api_config,2015-09-04,,Fix secure option issue,pr_functional,already_addressed,0.77,matches_js_client,0.16,False,0.24,Important,0.7,"{""0"": 0.4, ""1"": 0.5, ""2"": 0.09, ""3"": 0.01}",Source/SocketIO/Client/SocketIOClientOption.swift:150,s2a-batch-04,37856
166,issue,closed,,threading_memory,2015-09-08,bug,Client crashes when event name is not a string,defect_current,already_addressed,0.9,matches_js_client,0.06,False,0.36,Important,1.01,"{""0"": 0.26, ""1"": 0.5, ""2"": 0.2, ""3"": 0.04}",Source/SocketIO/Parse/SocketParsable.swift:190,s2a-batch-23,28648
188,issue,closed,,engine_transport,2015-09-21,bug|patched,[ERROR] SocketIOClient: Invalid HTTP upgrade,defect_fixed_or_obsolete,not_applicable,0.99,already_addressed,0.01,False,0.03,Routine,0.4,"{""0"": 0.7, ""1"": 0.22, ""2"": 0.06, ""3"": 0.02}",README.md:886,s2a-batch-08,29335
190,issue,closed,,namespace,2015-09-23,enhancement|wontfix,Q: Do namespaces reuse the existing connection?,feature_request,already_addressed,0.72,matches_js_client,0.28,True,0.9,Routine,0.32,"{""0"": 0.73, ""1"": 0.23, ""2"": 0.04, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:34,s2a-batch-13,24483
193,issue,closed,,threading_memory,2015-09-25,,Possible crash when closing connection,defect_current,already_addressed,1,still_applicable,0,True,0.64,High,1.76,"{""0"": 0.05, ""1"": 0.28, ""2"": 0.54, ""3"": 0.13}",Source/SocketIO/Engine/SocketEngine.swift:296,s2a-batch-23,28648
197,issue,closed,,ack,2015-10-01,,Timeout handler is called after closing the connection,defect_current,already_addressed,0.96,still_applicable,0.03,False,0.04,Important,0.87,"{""0"": 0.27, ""1"": 0.59, ""2"": 0.13, ""3"": 0.01}",Source/SocketIO/Client/SocketIOClient.swift:305,s2a-batch-01,23628
200,issue,closed,,api_config,2015-10-06,,Event handler data argument - [AnyObject] vs AnyObject,feature_request,matches_js_client,0.67,already_addressed,0.19,True,0.59,Routine,0.1,"{""0"": 0.92, ""1"": 0.07, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Util/SocketTypes.swift:80,s2a-batch-04,37856
210,issue,closed,,namespace,2015-10-16,,Joining a namespace needs a Ack option.,feature_request,matches_js_client,0.55,still_applicable,0.37,False,0.17,Routine,0.56,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.05, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:923,s2a-batch-13,24483
211,pr,closed,no,api_config,2015-10-17,,Improve initial options,pr_functional,already_addressed,0.96,still_applicable,0.03,False,0.37,Routine,0.07,"{""0"": 0.93, ""1"": 0.06, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Client/SocketIOClientOption.swift:38,s2a-batch-04,37856
213,pr,closed,no,api_config,2015-10-18,,Real type save,pr_functional,already_addressed,0.77,still_applicable,0.13,False,0.18,Routine,0.03,"{""0"": 0.98, ""1"": 0.02, ""2"": 0, ""3"": 0}",Source/SocketIO/Client/SocketIOClientOption.swift:38,s2a-batch-04,37856
216,issue,closed,,api_config,2015-10-18,enhancement,Add 'off()' and 'removeAllHandlers()' to readme,docs_gap,still_applicable,0.85,already_addressed,0.15,True,0.68,Routine,0.13,"{""0"": 0.88, ""1"": 0.11, ""2"": 0.01, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:1712,s2a-batch-04,37856
220,issue,closed,,reconnect,2015-10-22,enhancement|patched,Access voipEnabled property,feature_request,not_applicable,1,matches_js_client,0,False,0.02,Routine,0.05,"{""0"": 0.96, ""1"": 0.04, ""2"": 0, ""3"": 0}",none,s2a-batch-19,27100
228,issue,closed,,engine_transport,2015-11-01,,Crash in processRawMessage,defect_fixed_or_obsolete,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.44,"{""0"": 0.73, ""1"": 0.14, ""2"": 0.08, ""3"": 0.05}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
229,issue,closed,,api_config,2015-11-02,bug|patched,Secure connections require options to be non-nil,defect_current,already_addressed,0.99,matches_js_client,0.01,True,0.51,Routine,0.83,"{""0"": 0.4, ""1"": 0.4, ""2"": 0.17, ""3"": 0.03}",Source/SocketIO/Manager/SocketManager.swift:1125,s2a-batch-04,37856
231,issue,closed,,reconnect,2015-11-09,unconfirmed,Socket io client can't emit sometimes,defect_current,not_applicable,0.97,matches_js_client,0.02,False,0.03,Important,0.79,"{""0"": 0.33, ""1"": 0.56, ""2"": 0.11, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:923,s2a-batch-19,27100
232,issue,closed,,ack,2015-11-10,unconfirmed,Create and Connect many sockets crashes/hangs,defect_current,not_applicable,0.91,already_addressed,0.05,False,0.04,Important,0.79,"{""0"": 0.35, ""1"": 0.52, ""2"": 0.12, ""3"": 0.01}",README.md:5,s2a-batch-01,23628
233,issue,closed,,threading_memory,2015-11-12,bug|patched,Memory leak when using from obj-c,defect_fixed_or_obsolete,not_applicable,1,already_addressed,0,False,0.03,Routine,0.15,"{""0"": 0.89, ""1"": 0.1, ""2"": 0.01, ""3"": 0}",CHANGELOG.md:150,s2a-batch-24,19256
235,issue,closed,,threading_memory,2015-11-16,unconfirmed,Crashes on SocketEventHandler.executeCallback,defect_current,insufficient_evidence,0.92,still_applicable,0.06,False,0.04,Important,1.18,"{""0"": 0.15, ""1"": 0.55, ""2"": 0.27, ""3"": 0.03}",none,s2a-batch-24,19256
241,issue,closed,,engine_transport,2015-11-23,unconfirmed,UnsafePointer Crash,defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.87,"{""0"": 0.47, ""1"": 0.26, ""2"": 0.19, ""3"": 0.08}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
245,issue,closed,,parser_binary,2015-12-01,,SocketEngine message parser problem,defect_current,matches_js_client,0.88,still_applicable,0.1,False,0.04,Routine,0.63,"{""0"": 0.51, ""1"": 0.35, ""2"": 0.12, ""3"": 0.02}",Source/SocketIO/Parse/SocketParsable.swift:122,s2a-batch-18,12324
246,issue,closed,,reconnect,2015-12-01,enhancement,ForceNew option for client,feature_request,already_addressed,0.83,matches_js_client,0.14,False,0.23,Important,1.29,"{""0"": 0.08, ""1"": 0.56, ""2"": 0.35, ""3"": 0.01}",Source/SocketIO/Client/SocketIOClientOption.swift:101,s2a-batch-20,30206
249,issue,open,,other,2015-12-03,enhancement|unconfirmed,Linux Port,feature_request,still_applicable,1,not_applicable,0,False,0.03,Routine,0.14,"{""0"": 0.88, ""1"": 0.11, ""2"": 0.01, ""3"": 0}",Package.swift:6,s2a-batch-14,25197
253,issue,closed,,other,2015-12-08,,Is there a  Object-C  library??,feature_request,not_applicable,0.74,still_applicable,0.22,False,0.03,Routine,0.02,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",CHANGELOG.md:150,s2a-batch-14,25197
256,issue,closed,,engine_transport,2015-12-11,,#218 WebSocket.swift line 632 WebSocket.(processResponse in _02D691C80E51B897C380608DCFC8AEE6)(WebSocket.WSResponse) -> Bool 4,defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.62,"{""0"": 0.63, ""1"": 0.19, ""2"": 0.11, ""3"": 0.07}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
257,issue,closed,,engine_transport,2015-12-11,,WebSocket.swift line 0 protocol witness for RawRepresentable.rawValue.getter in conformance WebSocket.OpCode,defect_fixed_or_obsolete,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.53,"{""0"": 0.67, ""1"": 0.18, ""2"": 0.1, ""3"": 0.05}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
258,issue,closed,,engine_transport,2015-12-11,,WebSocket.swift line 631 WebSocket.(processResponse in _02D691C80E51B897C380608DCFC8AEE6)(WebSocket.WSResponse) -> Bool,defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.54,"{""0"": 0.68, ""1"": 0.16, ""2"": 0.1, ""3"": 0.06}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
259,issue,closed,,engine_transport,2015-12-11,,"WebSocket.swift line 0 @nonobjc NSString.init(data : NSData, encoding : UInt) -> NSString?",defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.55,"{""0"": 0.68, ""1"": 0.16, ""2"": 0.1, ""3"": 0.06}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
260,issue,closed,,engine_transport,2015-12-11,,"WebSocket.swift line 413 WebSocket.(processRawMessage in _02D691C80E51B897C380608DCFC8AEE6)(UnsafePointer<UInt8>, bufferLen : Int) -> ()",defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.54,"{""0"": 0.67, ""1"": 0.17, ""2"": 0.1, ""3"": 0.06}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
261,issue,closed,,engine_transport,2015-12-11,,WebSocket.swift line 625 WebSocket.(processResponse in _02D691C80E51B897C380608DCFC8AEE6)(WebSocket.WSResponse) -> Bool,defect_current,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.44,"{""0"": 0.74, ""1"": 0.13, ""2"": 0.08, ""3"": 0.05}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-09,35610
262,pr,closed,no,threading_memory,2015-12-11,,Avoid doing unaligned reads/writes via UnsafePointer,pr_functional,not_applicable,1,already_addressed,0,False,0.04,Routine,0.82,"{""0"": 0.45, ""1"": 0.33, ""2"": 0.16, ""3"": 0.06}",none,s2a-batch-24,19256
271,issue,closed,,engine_transport,2015-12-27,enhancement|patched,"Updating connection opts on a existing connection, before reconnecting.",feature_request,already_addressed,1,insufficient_evidence,0,False,0.29,Important,0.64,"{""0"": 0.41, ""1"": 0.54, ""2"": 0.05, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:64,s2a-batch-10,49017
272,issue,closed,,other,2016-01-05,question,watchOS Support?,feature_request,already_addressed,0.93,still_applicable,0.03,False,0.04,Routine,0.07,"{""0"": 0.94, ""1"": 0.05, ""2"": 0.01, ""3"": 0}",Package.swift:6,s2a-batch-14,25197
279,issue,closed,,api_config,2016-01-15,bug,Reconnect cannot reconnect because already connected,defect_current,already_addressed,0.99,matches_js_client,0.01,True,0.8,High,1.55,"{""0"": 0.02, ""1"": 0.42, ""2"": 0.54, ""3"": 0.02}",Source/SocketIO/Engine/SocketEngine.swift:386,s2a-batch-04,37856
290,issue,closed,,reconnect,2016-01-26,unconfirmed,Socket is being closed automatically when opening it just after closing the old one,defect_current,already_addressed,0.83,still_applicable,0.09,True,0.68,Important,1.14,"{""0"": 0.1, ""1"": 0.67, ""2"": 0.23, ""3"": 0}",Tests/TestSocketIO/SocketPollingCloseTest.swift:487,s2a-batch-20,30206
297,issue,closed,,engine_transport,2016-02-03,,Trailing slash in path,defect_current,already_addressed,0.59,matches_js_client,0.41,True,0.86,Important,0.73,"{""0"": 0.34, ""1"": 0.6, ""2"": 0.06, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:1028,s2a-batch-10,49017
300,issue,closed,,reconnect,2016-02-04,unconfirmed,Reconnecting gets called a lot.,defect_current,matches_js_client,0.57,already_addressed,0.39,True,0.59,Important,0.75,"{""0"": 0.34, ""1"": 0.58, ""2"": 0.08, ""3"": 0}",Source/SocketIO/Manager/SocketManager.swift:681,s2a-batch-20,30206
301,issue,closed,,threading_memory,2016-02-04,,Unknown Crash,defect_current,already_addressed,1,matches_js_client,0,False,0.34,High,1.74,"{""0"": 0.05, ""1"": 0.32, ""2"": 0.47000000000000003, ""3"": 0.16}",Source/SocketIO/Engine/SocketEnginePollable.swift:208,s2a-batch-24,19256
306,issue,closed,,threading_memory,2016-02-10,unconfirmed,Socket crash on production,defect_current,not_applicable,0.82,already_addressed,0.18,False,0.05,Routine,0.63,"{""0"": 0.5, ""1"": 0.38, ""2"": 0.11, ""3"": 0.01}",CHANGELOG.md:150,s2a-batch-24,19256
307,issue,open,,engine_transport,2016-02-13,enhancement,Need to read cookie from response headers,feature_request,already_addressed,0.98,matches_js_client,0.02,True,0.85,Important,0.8,"{""0"": 0.29, ""1"": 0.63, ""2"": 0.08, ""3"": 0}",Source/SocketIO/Engine/SocketEngine.swift:965,s2a-batch-10,49017
311,issue,closed,,namespace,2016-02-18,bug|unconfirmed,Strange bug (version 5.4.1),defect_fixed_or_obsolete,not_applicable,0.98,matches_js_client,0.01,False,0.08,Routine,0.17,"{""0"": 0.86, ""1"": 0.13, ""2"": 0.01, ""3"": 0}",CHANGELOG.md:150,s2a-batch-13,24483
325,issue,closed,,threading_memory,2016-03-15,,absoluteString crash,defect_current,not_applicable,0.99,already_addressed,0.01,False,0.05,Routine,0.35,"{""0"": 0.75, ""1"": 0.17, ""2"": 0.06, ""3"": 0.02}",Source/SocketIO/Manager/SocketManager.swift:231,s2a-batch-24,19256
333,issue,closed,,threading_memory,2016-03-25,,app crashing on the production,insufficient_evidence,not_applicable,0.88,insufficient_evidence,0.12,False,0.03,Routine,0.12,"{""0"": 0.91, ""1"": 0.08, ""2"": 0.01, ""3"": 0}",none,s2a-batch-24,19256
336,issue,closed,,other,2016-03-28,,Is there any way where we can Observer (KVO) the status property of SocketIOClient ?,feature_request,still_applicable,0.52,already_addressed,0.28,False,0.27,Routine,0.01,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}",Source/SocketIO/Client/SocketIOClient.swift:88,s2a-batch-14,25197
343,pr,closed,no,engine_transport,2016-04-10,,Websocket compression [DONT MERGE],pr_functional,already_addressed,0.5,not_applicable,0.48,True,0.76,Routine,0.31,"{""0"": 0.74, ""1"": 0.2, ""2"": 0.05, ""3"": 0.01}",Tests/TestSocketIO/E2E/PerMessageDeflateE2ETest.swift:30,s2a-batch-10,49017
349,pr,closed,no,api_config,2016-04-14,,How to know how many events i have registered?,feature_request,already_addressed,0.55,still_applicable,0.39,False,0.24,Routine,0.02,"{""0"": 0.98, ""1"": 0.02, ""2"": 0, ""3"": 0}",Source/SocketIO/Client/SocketIOClientSpec.swift:36,s2a-batch-04,37856
351,issue,closed,,tls_security,2016-04-19,,Website still points to old 3rd party project,docs_gap,not_applicable,0.78,insufficient_evidence,0.18,False,0.03,Routine,0.01,"{""0"": 0.99, ""1"": 0.01, ""2"": 0, ""3"": 0}",none,s2a-batch-28,17504
355,issue,closed,,engine_transport,2016-04-26,,SocketEnginePollable Crash Sometimes,defect_current,already_addressed,1,insufficient_evidence,0,True,0.88,High,2.38,"{""0"": 0, ""1"": 0.06, ""2"": 0.49, ""3"": 0.45}",Tests/TestSocketIO/SocketPollingCloseTest.swift:574,s2a-batch-10,49017
356,issue,open,,engine_transport,2016-04-26,bug|unconfirmed,SocketEnginePollable Crash Sometimes,defect_current,already_addressed,1,insufficient_evidence,0,True,0.86,High,2.42,"{""0"": 0, ""1"": 0.04, ""2"": 0.49, ""3"": 0.47}",Tests/TestSocketIO/SocketPollingCloseTest.swift:574,s2a-batch-10,49017
365,issue,closed,,reconnect,2016-05-06,enhancement,Socket keep on trying to connect and always fails,defect_current,already_addressed,0.96,still_applicable,0.02,False,0.39,Important,1.33,"{""0"": 0.06, ""1"": 0.56, ""2"": 0.37, ""3"": 0.01}",Source/SocketIO/Client/SocketIOClient.swift:544,s2a-batch-20,30206
367,issue,closed,,threading_memory,2016-05-12,bug|unconfirmed,Escape issue,defect_current,matches_js_client,0.67,already_addressed,0.21,True,0.53,Important,0.77,"{""0"": 0.35, ""1"": 0.54, ""2"": 0.1, ""3"": 0.01}",Tests/TestSocketIO/SocketEngineURLParityTest.swift:74,s2a-batch-24,19256
374,issue,closed,,reconnect,2016-05-26,bug|patched,Error:Session ID unknown???,defect_fixed_or_obsolete,already_addressed,0.97,still_applicable,0.01,False,0.25,Important,0.76,"{""0"": 0.33, ""1"": 0.59, ""2"": 0.08, ""3"": 0}",Tests/TestSocketIO/SocketPollingCloseTest.swift:574,s2a-batch-20,30206
380,pr,closed,no,tls_security,2016-05-31,,Add Proxy support for websocket,pr_functional,not_applicable,0.62,already_addressed,0.36,False,0.09,Routine,0.29,"{""0"": 0.76, ""1"": 0.2, ""2"": 0.04, ""3"": 0}",Source/SocketIO/Util/SocketExtensions.swift:114,s2a-batch-28,17504
385,issue,open,,ack,2016-06-04,unconfirmed,Sometimes emit method is not working on connect,defect_current,insufficient_evidence,0.53,still_applicable,0.33,False,0.05,High,1.57,"{""0"": 0.01, ""1"": 0.42, ""2"": 0.5599999999999999, ""3"": 0.01}",none,s2a-batch-01,23628
402,issue,closed,,threading_memory,2016-06-21,wontfix|unconfirmed,socket crash when network goes off or tries to reconnect,defect_current,not_applicable,0.99,already_addressed,0.01,False,0.02,Routine,1.09,"{""0"": 0.39, ""1"": 0.24, ""2"": 0.24, ""3"": 0.13}",Documentation/NativeWebSocketTransport.md:7,s2a-batch-25,22723
403,issue,open,,other,2016-06-22,unconfirmed,Network connection was lost,support_question,insufficient_evidence,0.86,not_applicable,0.14,False,0.02,Routine,0.36,"{""0"": 0.67, ""1"": 0.3, ""2"": 0.03, ""3"": 0}",none,s2a-batch-15,19879
411,issue,open,,reconnect,2016-06-28,unconfirmed,"After websocket disconnected, it still call a method named error",defect_current,not_applicable,0.9,still_applicable,0.06,False,0.08,Important,0.66,"{""0"": 0.38, ""1"": 0.58, ""2"": 0.04, ""3"": 0}",Source/SocketIO/Engine/SocketEnginePollable.swift:205,s2a-batch-20,30206
