number,kind,state,state_reason,merged,labels,created,title,top,p_top,second,p_second
47,pr,closed,,yes,,2015-04-09,Engine Errors,pr_functional,0.54,insufficient_evidence,0.23
48,issue,closed,completed,,unconfirmed,2015-04-09,Multiple reconnection attempts triggers multiple disconnection events,defect_current,0.95,insufficient_evidence,0.02
49,issue,closed,completed,,,2015-04-10,podspec v2.0.1 has no source_files,defect_fixed_or_obsolete,0.75,build_packaging_env,0.25
50,pr,closed,,no,,2015-04-10,Carthage,build_packaging_env,0.63,pr_non_functional,0.19
51,issue,closed,completed,,,2015-04-11,Use of subscripts causes Xcode builds to fail,defect_fixed_or_obsolete,0.52,build_packaging_env,0.32
52,pr,closed,,yes,,2015-04-11,work on logging,pr_functional,0.93,insufficient_evidence,0.06
53,pr,closed,,yes,,2015-04-13,Fixed the use of the ?? operator because Swift is broken,defect_fixed_or_obsolete,0.7,pr_functional,0.26
54,issue,closed,completed,,enhancement|patched,2015-04-17,Using this client with self signed certificates,feature_request,0.89,pr_functional,0.07
55,pr,closed,,yes,,2015-04-17,Adding support for self signed certificates by passing in a NSURLSessionDelegate optional,pr_functional,0.93,feature_request,0.07
56,issue,closed,completed,,question,2015-04-17,Compile Error While integrating the Swift client into Objective C Project.,build_packaging_env,0.7,defect_fixed_or_obsolete,0.23
57,issue,closed,completed,,bug|patched,2015-04-21,"Plus signs (""+"") is not URL encoded",defect_fixed_or_obsolete,0.86,defect_current,0.12
58,pr,closed,,yes,,2015-04-21,[FIX] Plus signs (+) is not URL encoded #57,defect_fixed_or_obsolete,0.6,pr_functional,0.36
59,pr,closed,,yes,,2015-04-21,[FIX] memory leak with the takeUnretainedValue(),defect_fixed_or_obsolete,0.55,pr_functional,0.33
60,issue,closed,completed,,invalid|question,2015-04-22,How to get parameters of connection event?,support_question,0.9,duplicate_invalid_spam,0.1
61,issue,closed,completed,,bug|patched,2015-04-22,sending data with NSNull in it,defect_fixed_or_obsolete,0.47000000000000003,insufficient_evidence,0.45
62,issue,closed,completed,,bug|patched,2015-04-23,Carthage building error on 955ad84,build_packaging_env,0.9,defect_fixed_or_obsolete,0.09
63,pr,closed,,yes,,2015-04-25,clean up engineclient,pr_functional,0.59,insufficient_evidence,0.32
64,issue,closed,completed,,question,2015-04-26,Namespace use,support_question,1,duplicate_invalid_spam,0
65,issue,closed,completed,,enhancement,2015-04-27,Allow option to specify custom socket.io url path.,feature_request,0.98,duplicate_invalid_spam,0.01
66,issue,closed,completed,,enhancement|patched,2015-04-27,forceWebsockets and cookies,feature_request,0.48,defect_fixed_or_obsolete,0.33
67,issue,closed,completed,,help wanted|question,2015-04-27,won't reconnect when the app come back from background,support_question,0.51,defect_current,0.46
68,issue,closed,completed,,question,2015-04-27,How do I register for unrequested updates?,support_question,1,insufficient_evidence,0
69,issue,closed,completed,,,2015-04-28,NSCFArray and NSCFDictionary ?,support_question,0.62,defect_fixed_or_obsolete,0.15
70,issue,closed,completed,,bug|enhancement|patched,2015-04-29,self gets released while dispatch_async block executes.,defect_fixed_or_obsolete,0.75,defect_current,0.23
71,pr,closed,,yes,,2015-04-29,Removeunsafeunwraps,pr_functional,0.45,defect_fixed_or_obsolete,0.36
72,issue,closed,completed,,bug|patched,2015-04-30,AllowedCharacterSet  in connect params,defect_fixed_or_obsolete,0.69,defect_current,0.23
73,issue,closed,completed,,question,2015-05-01,Event not called after connecting to socket,support_question,0.93,defect_fixed_or_obsolete,0.06
74,issue,closed,completed,,,2015-05-01,Installation problem,build_packaging_env,0.86,defect_fixed_or_obsolete,0.14
75,issue,closed,completed,,question,2015-05-05,HTTPHeader in socket.io,support_question,0.73,feature_request,0.27
76,issue,closed,completed,,,2015-05-08,use socket.connect() in v2.2.3 has a problem,support_question,0.88,defect_fixed_or_obsolete,0.1
77,issue,closed,completed,,question,2015-05-08,"How to best create a ""Global"" socket?",support_question,1,defect_current,0
78,pr,closed,,yes,,2015-05-09,Redoconnects,pr_functional,0.8,insufficient_evidence,0.14
79,issue,closed,completed,,unconfirmed,2015-05-11,Issue with namespaces,support_question,0.44,defect_current,0.35
80,issue,closed,completed,,question,2015-05-12,79 Errors while adding SocketIOClientSwift folder to a new Swift project in Xcode,build_packaging_env,0.92,defect_fixed_or_obsolete,0.06
81,issue,closed,completed,,,2015-05-12,server: how to send ack to client,support_question,1,pr_non_functional,0
82,issue,closed,completed,,,2015-05-13,passport support,support_question,0.62,feature_request,0.38
83,issue,closed,completed,,unconfirmed,2015-05-14,event is emited twice,defect_current,0.91,insufficient_evidence,0.07
84,issue,closed,completed,,unconfirmed,2015-05-15,"Usages of emitWithAck(event:String, _ items:AnyObject...) in Objective-C",support_question,0.99,defect_fixed_or_obsolete,0.01
85,issue,closed,completed,,bug|patched,2015-05-24,Cant send multiline messages,defect_fixed_or_obsolete,0.84,defect_current,0.14
86,issue,closed,completed,,question,2015-05-26,CocoaPods Setup,build_packaging_env,0.59,feature_request,0.28
87,issue,closed,completed,,bug|patched,2015-05-26,Websocket ping timeout,defect_fixed_or_obsolete,0.92,defect_current,0.07
88,issue,closed,completed,,unconfirmed,2015-05-27,won't reconnect when app gets suspended in background,defect_current,0.83,defect_fixed_or_obsolete,0.13
89,issue,closed,completed,,bug|wontfix|unconfirmed,2015-05-29,Memory Leaks,defect_current,0.85,defect_fixed_or_obsolete,0.14
90,issue,closed,completed,,,2015-05-30,replacement for connectWithParams not working?,support_question,0.86,defect_fixed_or_obsolete,0.11
91,issue,closed,completed,,,2015-06-01,"SocketIOClient is disconnected when app enters background, reconnected when entering to foreground",support_question,0.96,defect_fixed_or_obsolete,0.03
92,issue,closed,completed,,,2015-06-05,got a crash when server reject connect,defect_fixed_or_obsolete,0.94,defect_current,0.04
93,issue,closed,completed,,,2015-06-06,WebSocket never deinit'd if close is not called,defect_current,0.66,defect_fixed_or_obsolete,0.31
94,issue,closed,completed,,,2015-06-08,I cannot receive data back from server,support_question,0.99,defect_fixed_or_obsolete,0.01
95,issue,closed,completed,,enhancement,2015-06-08,Cannot compile for iOS 9,build_packaging_env,0.6,defect_fixed_or_obsolete,0.38
96,pr,closed,,yes,,2015-06-09,Swift 2,defect_fixed_or_obsolete,0.39,pr_functional,0.35
97,issue,closed,completed,,bug|patched,2015-06-11,Crash on dispatch_async in SocketEngine with v2.3.4,defect_fixed_or_obsolete,0.89,defect_current,0.09
98,issue,closed,completed,,question,2015-06-14,Support for emitting binary data (or documentation for it),support_question,0.92,feature_request,0.04
99,issue,closed,completed,,unconfirmed,2015-06-15,cannot emit to server,support_question,0.96,defect_fixed_or_obsolete,0.03
100,issue,closed,completed,,bug|patched,2015-06-16,"About nil sid in ""connect"" event callback",defect_fixed_or_obsolete,0.98,insufficient_evidence,0.01
101,issue,closed,completed,,unconfirmed,2015-06-19,Connection is connected again and again,defect_current,0.9,defect_fixed_or_obsolete,0.08
102,issue,closed,completed,,,2015-06-19,Connection is connected again and again,duplicate_invalid_spam,0.86,defect_current,0.08
103,issue,closed,completed,,,2015-06-19,Crash in class SocketEngine for function startPingTime in version 2.3.4,duplicate_invalid_spam,0.67,defect_fixed_or_obsolete,0.22
104,issue,closed,completed,,bug|patched,2015-06-23,socket.connecting never set to 'YES',defect_fixed_or_obsolete,0.97,defect_current,0.03
105,issue,closed,completed,,unconfirmed,2015-06-27,won't compile with existing project,build_packaging_env,0.9400000000000001,defect_fixed_or_obsolete,0.06
106,issue,closed,completed,,help wanted|question,2015-06-28,make a slight change to the README,docs_gap,0.88,support_question,0.09
107,issue,closed,completed,,help wanted|question,2015-06-30,socket.io-client-swift & cocoa pods,build_packaging_env,0.97,support_question,0.03
108,issue,closed,completed,,unconfirmed,2015-07-01,Multiple Connections,support_question,0.84,defect_current,0.14
109,issue,closed,completed,,unconfirmed,2015-07-03,closeWithFast Crash on Mavericks,defect_current,0.63,defect_fixed_or_obsolete,0.35
110,issue,closed,completed,,bug|patched,2015-07-03,The socket is trying to reconnect after closeWithFast call,defect_current,0.68,defect_fixed_or_obsolete,0.16
111,issue,closed,completed,,invalid,2015-07-06,Emit Dictionary in Objective-C,support_question,0.6,duplicate_invalid_spam,0.26
112,pr,closed,,no,,2015-07-06,emit dictionary in Objective-C,pr_functional,0.52,duplicate_invalid_spam,0.28
113,issue,closed,completed,,bug|patched,2015-07-06,Swift 2 branch is not working,defect_fixed_or_obsolete,0.86,defect_current,0.07
114,issue,closed,completed,,question,2015-07-08,Unable to get the client working in OS X Console App on Yosemite,support_question,0.97,defect_fixed_or_obsolete,0.02
115,issue,closed,completed,,unconfirmed,2015-07-09,Event Sending Failure,support_question,0.71,defect_current,0.27
116,issue,closed,completed,,bug|patched,2015-07-10,Crash in WebSocket.swift with iOS 7,defect_fixed_or_obsolete,0.8,defect_current,0.11
117,pr,closed,,yes,,2015-07-12,Added project with iOS and Mac targets => Carthage support,build_packaging_env,0.57,pr_non_functional,0.39
118,pr,closed,,yes,,2015-07-13,Remove handlers,pr_functional,0.96,feature_request,0.03
119,issue,closed,completed,,invalid,2015-07-13,over 95 errors on import,build_packaging_env,0.84,defect_fixed_or_obsolete,0.08
120,issue,closed,completed,,,2015-07-15,How to know when emit has completed?,support_question,0.86,feature_request,0.14
121,issue,closed,completed,,unconfirmed,2015-07-19,Can not connect successfully in iOS 9,support_question,0.64,defect_fixed_or_obsolete,0.18
122,issue,closed,completed,,invalid,2015-07-21,Join Room,support_question,0.55,duplicate_invalid_spam,0.45
123,issue,closed,completed,,,2015-07-22,[Question] Example for emitWithAck for ObjC?,support_question,0.98,docs_gap,0.02
124,issue,closed,completed,,,2015-07-22,Compiler warinings in beta4,defect_fixed_or_obsolete,0.67,build_packaging_env,0.31
125,issue,closed,completed,,question,2015-07-23,Best practice in order to re-send data that wasn't sent to server,support_question,0.98,feature_request,0.02
126,issue,closed,completed,,question,2015-07-24,Can't use in Objective-C library or Framework,build_packaging_env,0.76,support_question,0.21
127,pr,closed,,yes,,2015-07-24,Tests for socket.io client,pr_non_functional,1,defect_current,0
128,issue,closed,completed,,,2015-07-27,Crash in WebSocket.swift iOS 8.4,defect_fixed_or_obsolete,0.45,defect_current,0.23
129,issue,closed,completed,,,2015-07-27,Multiple Errors when using in XCode 7,build_packaging_env,0.66,defect_fixed_or_obsolete,0.28
130,issue,closed,completed,,invalid,2015-08-02,WatchOS is not compiling,build_packaging_env,0.76,duplicate_invalid_spam,0.14
131,issue,closed,completed,,question,2015-08-03,Why ack block is NULL?,support_question,0.98,defect_fixed_or_obsolete,0.02
132,issue,closed,completed,,question,2015-08-03,Help wanted: How to pass in query string when connecting to socketio endpoint?,support_question,1,duplicate_invalid_spam,0
133,issue,closed,completed,,bug|patched,2015-08-03,Swift 2 from objc Missing method on,defect_fixed_or_obsolete,0.91,build_packaging_env,0.05
134,issue,closed,completed,,unconfirmed,2015-08-03,Unable to request ack with iOS client,support_question,0.53,defect_fixed_or_obsolete,0.28
135,issue,closed,completed,,enhancement|patched,2015-08-05,Threading Documentation,docs_gap,0.87,feature_request,0.09
136,issue,closed,completed,,unconfirmed,2015-08-05,Swift 2 Branch Strange Late Connect Behavior Question,defect_fixed_or_obsolete,0.37,support_question,0.35
137,issue,closed,completed,,bug|patched,2015-08-05,Version 2.4.1 breaks objective-c interoperability,defect_fixed_or_obsolete,0.5700000000000001,build_packaging_env,0.36
138,issue,closed,completed,,unconfirmed,2015-08-06,can't connect to server with parameter,support_question,0.88,defect_current,0.08
139,issue,closed,completed,,,2015-08-06,Closing socket,support_question,0.55,defect_current,0.31
140,issue,closed,completed,,unconfirmed,2015-08-07,iOS 9: The operation couldn’t be completed. No such file or directory,support_question,0.63,defect_fixed_or_obsolete,0.16
141,pr,closed,,yes,,2015-08-10,Api improvements,pr_functional,0.99,pr_non_functional,0.01
142,issue,closed,completed,,,2015-08-11,socket.io LINUX TCP,support_question,0.65,defect_current,0.16
143,issue,closed,completed,,,2015-08-14,"Generated header file throws undefined symbols ""_OBJC_CLASS_$__TtC22Socket_IO_Client_Swift14SocketIOClient""  when trying to use Socket.io-client-swift in ObjectiveC",build_packaging_env,0.95,defect_fixed_or_obsolete,0.04
144,pr,closed,,no,,2015-08-15,Clear waiting data on reconnect (like JS does),pr_functional,0.39,insufficient_evidence,0.28
145,issue,closed,completed,,bug|patched,2015-08-17,"""masked and rsv data is not currently supported"" leads to crash on ACK",defect_fixed_or_obsolete,0.74,defect_current,0.25
146,issue,closed,completed,,question,2015-08-20,Using socket.io in a background task,support_question,1,defect_fixed_or_obsolete,0
147,issue,closed,completed,,,2015-08-24,pod for Xcode 7 and Swift 2.0,build_packaging_env,0.77,defect_fixed_or_obsolete,0.14
148,issue,closed,completed,,,2015-08-25,"generic specialization <Swift.Array<Swift.AnyObject>, Swift.String with Swift.String : Swift.OutputStreamType in Swift> of Swift.print <A, B : Swift.OutputStreamType>(A, inout B) -> ()  raw",defect_fixed_or_obsolete,0.79,defect_current,0.15
149,issue,closed,completed,,,2015-08-25,Crashed: com.apple.root.default-qos EXC_BAD_ACCESS 0x17d884ea,defect_fixed_or_obsolete,0.51,defect_current,0.47000000000000003
150,issue,closed,completed,,,2015-08-25,how to join a room?,support_question,0.99,feature_request,0.01
151,pr,closed,,yes,,2015-08-27,Using new Xcode 7 -Owholemodule optimization setting,pr_non_functional,0.78,build_packaging_env,0.21
152,issue,closed,completed,,enhancement|patched,2015-08-31,Client tries to upgrade to websocket when server does not support that transport,defect_fixed_or_obsolete,0.75,defect_current,0.24
153,issue,closed,completed,,bug|patched,2015-08-31,websocket has a question like this,support_question,0.62,defect_current,0.3
154,issue,closed,completed,,,2015-08-31,Socketio swift + flask-socketio connect problems,support_question,0.95,defect_fixed_or_obsolete,0.03
155,pr,closed,,no,,2015-08-31,Travis ci test,pr_non_functional,0.97,duplicate_invalid_spam,0.01
156,pr,closed,,yes,,2015-09-01,Travis ci test,pr_non_functional,0.99,build_packaging_env,0.01
157,issue,closed,completed,,question,2015-09-01,Import with Carthage into objective-c project,support_question,0.53,build_packaging_env,0.46
158,pr,closed,,yes,,2015-09-03,Fix travis ci tests,pr_non_functional,1,support_question,0
159,pr,closed,,no,,2015-09-04,Fix secure option issue,pr_functional,0.35,docs_gap,0.31
160,issue,closed,completed,,unconfirmed,2015-09-04,Apple warning,defect_fixed_or_obsolete,0.47000000000000003,support_question,0.31
161,pr,closed,,yes,,2015-09-04,Logger +  Missing Test code,pr_functional,0.9400000000000001,pr_non_functional,0.06
162,issue,closed,completed,,,2015-09-07,dyld`dyld_fatal_error,build_packaging_env,0.82,defect_fixed_or_obsolete,0.17
163,issue,closed,completed,,,2015-09-07,Xcodeproject fails to build in Xcode 7,build_packaging_env,0.75,defect_fixed_or_obsolete,0.24
164,pr,closed,,yes,,2015-09-07,More tests,pr_non_functional,0.65,pr_functional,0.35
165,issue,closed,completed,,help wanted,2015-09-08,Cannot compile on Swift 2.0/Xcode 7 beta 6,build_packaging_env,0.76,defect_fixed_or_obsolete,0.24
166,issue,closed,completed,,bug,2015-09-08,Client crashes when event name is not a string,defect_current,0.86,defect_fixed_or_obsolete,0.13
167,pr,closed,,yes,,2015-09-09,Fix use-after-release issue in WebSocket,defect_fixed_or_obsolete,0.6,pr_functional,0.31
168,issue,closed,completed,,,2015-09-10,Chat Connection,support_question,1,defect_fixed_or_obsolete,0
169,issue,closed,completed,,,2015-09-10,Cannot build iOS app on El Capitan with Xcode 6.4,build_packaging_env,0.73,defect_fixed_or_obsolete,0.27
170,pr,closed,,yes,,2015-09-11,Code improvements to Swift 2 branch,pr_functional,0.83,defect_fixed_or_obsolete,0.09
171,issue,closed,completed,,,2015-09-11,Socket with only connect event does not work,support_question,0.71,defect_current,0.16
172,pr,closed,,yes,,2015-09-12,Added support for tvOS,pr_non_functional,0.49,build_packaging_env,0.25
173,pr,closed,,no,,2015-09-12,Fix travis xctool,pr_non_functional,0.92,build_packaging_env,0.05
174,pr,closed,,yes,,2015-09-12,replay xctool with xcodebuild,pr_non_functional,0.97,build_packaging_env,0.02
175,pr,closed,,yes,,2015-09-12,Refactor engine polling. Change SocketGenericParser to SocketStringRe…,pr_functional,0.99,insufficient_evidence,0.01
176,issue,closed,completed,,,2015-09-14,Error parsing XHR message,insufficient_evidence,0.93,defect_current,0.05
177,issue,closed,completed,,bug|patched,2015-09-14,Message data missing or overlaps previous data,defect_fixed_or_obsolete,0.98,defect_current,0.02
178,issue,closed,completed,,,2015-09-15,Cannot compile on Objective-C project,build_packaging_env,0.6,support_question,0.24
179,issue,closed,completed,,,2015-09-15,Cannot install using Carthage on Xcode 7 GM,build_packaging_env,0.9,docs_gap,0.05
180,issue,closed,completed,,question,2015-09-16,How to set heart beat interval?,support_question,1,build_packaging_env,0
181,issue,closed,completed,,bug|patched,2015-09-17,parsePollingMessage() crashes on error,defect_fixed_or_obsolete,0.96,defect_current,0.04
182,issue,closed,completed,,,2015-09-17,Simple SocketIO example doesn’t connect anymore after upgrade to 3.0.1,support_question,0.85,defect_fixed_or_obsolete,0.06
183,pr,closed,,yes,,2015-09-17,"Adds SocketIOClient#once(event, callback)",pr_functional,0.99,feature_request,0.01
184,issue,closed,completed,,,2015-09-18,"Calling close method does not fire ""disconnected"" event",defect_fixed_or_obsolete,0.77,defect_current,0.23
185,pr,closed,,yes,,2015-09-18,Api cleanup,pr_functional,0.98,pr_non_functional,0.02
186,pr,closed,,yes,,2015-09-19,Travis test imporvements,pr_non_functional,1,build_packaging_env,0
187,issue,closed,completed,,,2015-09-21,Doesn't compile in new swift standard in new XCode 7.0,build_packaging_env,0.69,defect_fixed_or_obsolete,0.27
188,issue,closed,completed,,bug|patched,2015-09-21,[ERROR] SocketIOClient: Invalid HTTP upgrade,defect_fixed_or_obsolete,0.52,defect_current,0.44
189,issue,closed,completed,,,2015-09-22,Got message: Cannot GET //socket.io/?transport=polling&amp;b64=1,support_question,0.99,defect_fixed_or_obsolete,0.01
190,issue,closed,completed,,enhancement|wontfix,2015-09-23,Q: Do namespaces reuse the existing connection?,feature_request,0.97,support_question,0.03
191,issue,closed,completed,,,2015-09-23,tvos support,build_packaging_env,0.78,feature_request,0.15
192,pr,closed,,yes,,2015-09-24,Either,pr_functional,1,build_packaging_env,0
193,issue,closed,completed,,,2015-09-25,Possible crash when closing connection,defect_current,0.73,defect_fixed_or_obsolete,0.25
194,pr,closed,,yes,,2015-09-26,Test refactors,pr_non_functional,1,defect_fixed_or_obsolete,0
195,issue,closed,completed,,,2015-09-30,Connection not getting established.,support_question,0.93,defect_fixed_or_obsolete,0.07
196,issue,closed,completed,,bug|patched,2015-09-30,Receiving errors as strings fails to call error event handlers,defect_fixed_or_obsolete,0.79,defect_current,0.21
197,issue,closed,completed,,,2015-10-01,Timeout handler is called after closing the connection,defect_current,0.93,insufficient_evidence,0.04
198,pr,closed,,yes,,2015-10-05,Enabled Bitcode,build_packaging_env,0.7,pr_non_functional,0.3
199,pr,closed,,no,,2015-10-06,Travis fix methods,pr_non_functional,0.95,build_packaging_env,0.04
200,issue,closed,completed,,,2015-10-06,Event handler data argument - [AnyObject] vs AnyObject,feature_request,0.89,defect_fixed_or_obsolete,0.07
201,pr,closed,,yes,,2015-10-07,Add CocoaSeeds installation,pr_non_functional,0.97,docs_gap,0.02
202,issue,closed,completed,,,2015-10-07,SSL connection problem,support_question,0.74,defect_fixed_or_obsolete,0.13
203,issue,closed,completed,,bug|enhancement|patched,2015-10-10,lib will crash when connect to a server that don't have IOJS server running,insufficient_evidence,1,pr_non_functional,0
204,issue,closed,completed,,,2015-10-14,Importing with Carthage,build_packaging_env,0.96,support_question,0.03
205,issue,closed,completed,,question,2015-10-14,Is it safe to add event handlers after connection has been opened?,support_question,1,pr_non_functional,0
206,pr,closed,,no,,2015-10-14,Fixed incorrect code signing and bit code settings.,build_packaging_env,0.88,pr_non_functional,0.09
207,issue,closed,completed,,,2015-10-14,emit() not working with Swift client,support_question,0.96,defect_fixed_or_obsolete,0.03
208,issue,closed,completed,,,2015-10-15,Having an issue installing cocoapod of the project,build_packaging_env,0.98,defect_fixed_or_obsolete,0.02
209,issue,closed,completed,,question,2015-10-15,Is there a way to use this library as engine.io client?,support_question,0.76,feature_request,0.24
210,issue,closed,completed,,,2015-10-16,Joining a namespace needs a Ack option.,feature_request,0.88,defect_current,0.06
211,pr,closed,,no,,2015-10-17,Improve initial options,pr_functional,0.68,feature_request,0.21
212,pr,closed,,yes,,2015-10-17,Better options,pr_functional,0.98,feature_request,0.02
213,pr,closed,,no,,2015-10-18,Real type save,pr_functional,0.79,feature_request,0.2
214,issue,closed,completed,,,2015-10-18,Xcode code highlighting crashes,defect_fixed_or_obsolete,0.6,build_packaging_env,0.36
215,issue,closed,completed,,,2015-10-18,disconnect event fired before server recognizes disconnect,defect_fixed_or_obsolete,0.86,support_question,0.09
216,issue,closed,completed,,enhancement,2015-10-18,Add 'off()' and 'removeAllHandlers()' to readme,docs_gap,1,pr_non_functional,0
217,issue,closed,completed,,,2015-10-19,Fails to compile; WebSocketDeleate undeclared,build_packaging_env,0.56,defect_fixed_or_obsolete,0.36
218,issue,closed,completed,,,2015-10-21,how could i send json data and receive data like readLine?,support_question,1,pr_functional,0
219,issue,closed,completed,,,2015-10-21,Crash on iPhone 5,defect_fixed_or_obsolete,0.8,defect_current,0.19
220,issue,closed,completed,,enhancement|patched,2015-10-22,Access voipEnabled property,feature_request,0.96,defect_fixed_or_obsolete,0.03
221,issue,closed,completed,,enhancement,2015-10-22,tvOS support,build_packaging_env,0.71,feature_request,0.26
222,pr,closed,,yes,,2015-10-23,Added target and scheme for tvOS,pr_non_functional,0.54,build_packaging_env,0.46
223,issue,closed,completed,,,2015-10-23,Unable to connect and provide Array in Objective-C,support_question,0.99,defect_fixed_or_obsolete,0.01
224,issue,closed,completed,,,2015-10-23,delegate NSURLSession,support_question,0.92,defect_current,0.05
225,issue,closed,completed,,,2015-10-23,NSData in JSON,support_question,0.68,defect_fixed_or_obsolete,0.16
226,issue,closed,completed,,,2015-10-25,Is joining a room supported?,support_question,0.9,feature_request,0.1
227,pr,closed,,yes,,2015-10-31,Supporting tvOS for Cocoapods,build_packaging_env,0.65,pr_non_functional,0.35
